Age,Age_Showing,Growth_Rate,CI_low,CI_high
22.1,22.1,0.17788,0.15409,0.20902
22.2,22.2,0.17714,0.15345,0.20842
22.3,22.3,0.17639,0.15291,0.20744
22.4,22.4,0.17563,0.15209,0.20667
22.5,22.5,0.17488,0.15138,0.20601
22.6,22.6,0.17411,0.1509,0.20531
22.7,22.7,0.17334,0.15004,0.20448
22.8,22.8,0.17257,0.14937,0.20345
22.9,22.9,0.17179,0.1488,0.20259
23,23,0.17101,0.14793,0.20156
23.1,23.1,0.17022,0.14705,0.20077
23.2,23.2,0.16943,0.14656,0.20002
23.3,23.3,0.16864,0.14601,0.19898
23.4,23.4,0.16783,0.14525,0.19787
23.5,23.5,0.16703,0.14454,0.19713
23.6,23.6,0.16622,0.14349,0.19645
23.7,23.7,0.1654,0.14288,0.19576
23.8,23.8,0.16458,0.14202,0.19498
23.9,23.9,0.16375,0.14116,0.194
24,24,0.16292,0.1403,0.19342
24.1,24.1,0.16209,0.13937,0.19292
24.2,24.2,0.16125,0.13858,0.19219
24.3,24.3,0.1604,0.13768,0.19146
24.4,24.4,0.15955,0.13681,0.19082
24.5,24.5,0.1587,0.1358,0.19018
24.6,24.6,0.15784,0.1348,0.18954
24.7,24.7,0.15698,0.13391,0.1887
24.8,24.8,0.15611,0.13315,0.18769
24.9,24.9,0.15523,0.13236,0.18684
25,25,0.15436,0.13146,0.18611
25.1,25.1,0.15347,0.13048,0.18532
25.2,25.2,0.15259,0.12949,0.18455
25.3,25.3,0.15169,0.12848,0.18377
25.4,25.4,0.1508,0.12727,0.18293
25.5,25.5,0.14989,0.12654,0.18199
25.6,25.6,0.14899,0.12554,0.18104
25.7,25.7,0.14807,0.12454,0.18009
25.8,25.8,0.14716,0.12367,0.17913
25.9,25.9,0.14624,0.1228,0.17816
26,26,0.14531,0.12153,0.17712
26.1,26.1,0.14438,0.1205,0.17606
26.2,26.2,0.14345,0.11948,0.17522
26.3,26.3,0.1425,0.1187,0.17424
26.4,26.4,0.14156,0.11761,0.17324
26.5,26.5,0.14061,0.11656,0.17227
26.6,26.6,0.13966,0.1156,0.17146
26.7,26.7,0.1387,0.11459,0.17058
26.8,26.8,0.13773,0.11361,0.16929
26.9,26.9,0.13676,0.11262,0.16844
27,27,0.13579,0.11163,0.16773
27.1,27.1,0.13481,0.11064,0.167
27.2,27.2,0.13383,0.10979,0.16618
27.3,27.3,0.13284,0.10882,0.16525
27.4,27.4,0.13185,0.10765,0.16431
27.5,27.5,0.13085,0.10665,0.16337
27.6,27.6,0.12985,0.1057,0.16238
27.7,27.7,0.12884,0.10491,0.16146
27.8,27.8,0.12783,0.10378,0.16038
27.9,27.9,0.12682,0.10273,0.15945
