Age,Age_Showing,5th_centile,25th_centile,50th_centile,75th_centile,95th_centile,CI_low_5th,CI_high_5th,CI_low_25th,CI_high_25th,CI_low_50th,CI_high_50th,CI_low_75th,CI_high_75th,CI_low_95th,CI_high_95th
12.9,12.9,0.60491,0.65003,0.67491,0.69652,0.72495,0.60288,0.60687,0.64867,0.65142,0.67368,0.67606,0.69525,0.69772,0.7234,0.72642
13,13,0.6053,0.6503,0.6751,0.69665,0.725,0.60328,0.60724,0.64893,0.65166,0.67388,0.67625,0.69539,0.69785,0.72346,0.72647
13.1,13.1,0.60568,0.65055,0.67529,0.69678,0.72505,0.60367,0.60761,0.64918,0.65192,0.67408,0.67642,0.69552,0.69797,0.72351,0.72652
13.2,13.2,0.60606,0.65081,0.67548,0.69691,0.7251,0.60404,0.60798,0.64943,0.65216,0.67426,0.67659,0.69567,0.6981,0.72357,0.72657
13.3,13.3,0.60644,0.65106,0.67566,0.69704,0.72516,0.6044,0.60834,0.64972,0.65242,0.67447,0.67677,0.6958,0.69823,0.72363,0.7266
13.4,13.4,0.60681,0.65131,0.67585,0.69717,0.72521,0.60479,0.6087,0.64998,0.65268,0.67466,0.67693,0.69593,0.69834,0.72368,0.72664
13.5,13.5,0.60717,0.65156,0.67603,0.69729,0.72526,0.60517,0.60906,0.65023,0.65292,0.67485,0.67711,0.69606,0.69846,0.72376,0.72668
13.6,13.6,0.60753,0.65181,0.67621,0.69742,0.72531,0.60554,0.60943,0.65046,0.65315,0.67504,0.6773,0.6962,0.69857,0.72383,0.72672
13.7,13.7,0.60789,0.65205,0.67639,0.69754,0.72536,0.6059,0.60979,0.65072,0.65339,0.67523,0.67746,0.69632,0.69868,0.72388,0.72677
13.8,13.8,0.60824,0.65229,0.67656,0.69766,0.72541,0.60625,0.61015,0.65096,0.65363,0.67542,0.67764,0.69645,0.69879,0.72393,0.72681
13.9,13.9,0.60859,0.65252,0.67674,0.69778,0.72546,0.6066,0.6105,0.65119,0.65386,0.67559,0.67781,0.69657,0.69891,0.72397,0.72684
14,14,0.60894,0.65276,0.67691,0.6979,0.7255,0.60694,0.61082,0.65141,0.65409,0.67577,0.67799,0.69671,0.69903,0.72404,0.72688
14.1,14.1,0.60928,0.65299,0.67708,0.69802,0.72555,0.60729,0.61114,0.65165,0.65431,0.67593,0.67815,0.69683,0.69914,0.7241,0.72692
14.2,14.2,0.60962,0.65322,0.67725,0.69813,0.7256,0.60765,0.61148,0.65189,0.65453,0.67611,0.67832,0.69695,0.69925,0.72416,0.72695
14.3,14.3,0.60995,0.65344,0.67741,0.69824,0.72564,0.60798,0.61182,0.65212,0.65475,0.67628,0.67848,0.69708,0.69935,0.72421,0.72699
14.4,14.4,0.61028,0.65366,0.67758,0.69836,0.72569,0.60831,0.61215,0.65236,0.65496,0.67645,0.67864,0.69719,0.69946,0.72426,0.72703
14.5,14.5,0.61061,0.65388,0.67774,0.69847,0.72573,0.60861,0.61247,0.65259,0.65517,0.67662,0.67879,0.69731,0.69957,0.72431,0.72707
14.6,14.6,0.61093,0.6541,0.6779,0.69858,0.72578,0.60895,0.61277,0.65282,0.65538,0.67678,0.67894,0.69743,0.69967,0.72436,0.72712
14.7,14.7,0.61124,0.65431,0.67806,0.69869,0.72582,0.60926,0.61308,0.65305,0.65558,0.67694,0.6791,0.69754,0.69977,0.7244,0.72717
14.8,14.8,0.61156,0.65453,0.67821,0.69879,0.72586,0.60957,0.61339,0.65326,0.65579,0.6771,0.67926,0.69764,0.69986,0.72444,0.72721
